 Denis Istomin ; 30; Uzbekistan; Right-Handed; №70; 187 cm; 88 kg; 1 titles
 Thomaz Bellucci ; 29; Brazil; Right-Handed; №71; 187 cm; 82 kg; 4 titles
 Juan Monaco ; 32; Argentina; Right-Handed; №72; 185 cm; 81 kg; 9 titles
 Pierre-Hugues Herbert ; 26; France; Left-Handed; №73; 187 cm; 79 kg; 0 titles
 Kevin Anderson ; 30; South Africa; Right-Handed; №74; 203 cm; 89 kg; 3 titles
 Horacio Zeballos ; 31; Argentina; Right-Handed; №75; 187 cm; 83 kg; 1 titles
 Mikhail Kukushkin ; 29; Kazakhstan; Right-Handed; №76; 182 cm; 72 kg; 1 titles
 Jeremy Chardy ; 30; France; Right-Handed; №77; 187 cm; 75 kg; 1 titles
 Dustin Brown ; 32; Germany; Right-Handed; №78; 195 cm; 78 kg; 0 titles
 Jordan Thompson ; 22; Australia; Right-Handed; №79; 182 cm; 73 kg; 0 titles
 Andreas Seppi ; 33; Italy; Right-Handed; №80; 190 cm; 75 kg; 3 titles
 Evgeny Donskoy ; 26; Russia; Right-Handed; №81; 185 cm; 74 kg; 0 titles
 Thiago Monteiro ; 22; Brazil; Right-Handed; №82; 182 cm; 78 kg; 0 titles
 Dudi Sela ; 31; Israel; Right-Handed; №83; 175 cm; 65 kg; 0 titles
 Rogerio Dutra Silva ; 33; Brazil; Right-Handed; №84; 177 cm; 73 kg; 0 titles
 Dusan Lajovic ; 26; Serbia; Right-Handed; №85; 182 cm; 78 kg; 0 titles
 Radu Albot ; 27; Moldova; Right-Handed; №86; 175 cm; 69 kg; 0 titles
 Mikhail Youzhny ; 34; Russia; Right-Handed; №87; 182 cm; 72 kg; 10 titles
 Stephane Robert ; 36; France; Right-Handed; №88; 185 cm; 77 kg; 0 titles
 Gastao Elias ; 26; Portugal; Right-Handed; №89; 182 cm; 76 kg; 0 titles
 Guillermo Garcia-Lopez ; 33; Spain; Right-Handed; №90; 185 cm; 80 kg; 5 titles
 Victor Estrella Burgos ; 36; Dominican Republic; Right-Handed; №91; 170 cm; 77 kg; 3 titles
 Hyeon Chung ; 20; South Korea; Right-Handed; №92; 185 cm; 83 kg; 0 titles
 Janko Tipsarevic ; 32; Serbia; Right-Handed; №93; 175 cm; 80 kg; 4 titles
 Aljaz Bedene ; 27; Great Britain; Right-Handed; №94; 182 cm; 72 kg; 0 titles
 Jared Donaldson ; 20; USA; Right-Handed; №95; 187 cm; 75 kg; 0 titles
 Adam Pavlasek ; 22; Czech Republic; Right-Handed; №96; 185 cm; 76 kg; 0 titles
 Yuichi Sugita ; 28; Japan; Right-Handed; №97; 185 cm; 80 kg; 0 titles
 Renzo Olivo ; 25; Argentina; Right-Handed; №98; 180 cm; 72 kg; 0 titles
 Radek Stepanek ; 38; Chech Republic; Right-Handed; №99; 185 cm; 75 kg; 5 titles
 Taro Daniel ; 24; Japan; Right-Handed; №100; 190 cm; 76 kg; 0 titles
 
